site_id,timestamp,hour_ahead,temperature_2m,cloud_cover_pct,ghi_wm2,dni_wm2,wind_speed_10m,wind_speed_100m
desert-sunlight,2026-09-12T22:00:00Z,18,32.96,38.1,662.25,535.51,3.32,5.02
desert-sunlight,2026-09-12T23:00:00Z,19,33.15,37.9,549.19,423.87,3.96,5.99
desert-sunlight,2026-09-13T00:00:00Z,20,32.69,37.8,400.18,285.37,4.59,6.95
desert-sunlight,2026-09-13T01:00:00Z,21,31.61,37.9,225.46,139.28,5.17,7.82
desert-sunlight,2026-09-13T02:00:00Z,22,29.99,38.1,36.88,14.49,5.66,8.56
desert-sunlight,2026-09-13T03:00:00Z,23,27.95,32.6,0.0,0.0,6.02,9.12
desert-sunlight,2026-09-13T04:00:00Z,24,25.63,30.3,0.0,0.0,6.25,9.46
desert-sunlight,2026-09-13T05:00:00Z,25,23.18,27.8,0.0,0.0,6.33,9.58
desert-sunlight,2026-09-13T06:00:00Z,26,20.78,25.3,0.0,0.0,6.27,9.48
desert-sunlight,2026-09-13T07:00:00Z,27,18.59,22.8,0.0,0.0,6.07,9.19
desert-sunlight,2026-09-13T08:00:00Z,28,16.76,20.4,0.0,0.0,5.78,8.75
desert-sunlight,2026-09-13T09:00:00Z,29,15.42,18.0,0.0,0.0,5.41,8.19
desert-sunlight,2026-09-13T10:00:00Z,30,14.65,15.7,0.0,0.0,5.02,7.59
desert-sunlight,2026-09-13T11:00:00Z,31,14.52,13.6,0.0,0.0,4.63,7.0
desert-sunlight,2026-09-13T12:00:00Z,32,15.03,11.6,0.0,0.0,4.29,6.49
desert-sunlight,2026-09-13T13:00:00Z,33,16.14,9.9,0.0,0.0,4.03,6.1
desert-sunlight,2026-09-13T14:00:00Z,34,17.78,27.0,65.3,29.78,3.89,5.88
desert-sunlight,2026-09-13T15:00:00Z,35,19.83,23.6,281.13,184.89,3.88,5.87
desert-sunlight,2026-09-13T16:00:00Z,36,22.15,20.0,492.5,372.93,4.01,6.07
desert-sunlight,2026-09-13T17:00:00Z,37,24.58,16.1,686.02,564.6,4.28,6.48
desert-sunlight,2026-09-13T18:00:00Z,38,26.96,11.9,847.87,735.83,4.68,7.09
desert-sunlight,2026-09-13T19:00:00Z,39,29.11,7.6,964.78,864.58,5.18,7.84
desert-sunlight,2026-09-13T20:00:00Z,40,30.89,5.0,1012.09,917.64,5.75,8.71
desert-sunlight,2026-09-13T21:00:00Z,41,32.17,5.0,976.67,877.67,6.35,9.61
desert-sunlight,2026-09-13T22:00:00Z,42,32.86,5.0,879.88,770.33,6.93,10.49
desert-sunlight,2026-09-13T23:00:00Z,43,32.92,5.0,727.8,607.66,7.45,11.27
desert-sunlight,2026-09-14T00:00:00Z,44,32.32,5.0,529.99,408.77,7.86,11.9
desert-sunlight,2026-09-14T01:00:00Z,45,31.1,5.0,298.88,199.77,8.13,12.3
desert-sunlight,2026-09-14T02:00:00Z,46,29.35,5.0,48.99,20.84,8.22,12.45
desert-sunlight,2026-09-14T03:00:00Z,47,27.18,14.8,0.0,0.0,8.13,12.3
desert-sunlight,2026-09-14T04:00:00Z,48,24.73,17.1,0.0,0.0,7.83,11.85
desert-sunlight,2026-09-14T05:00:00Z,49,22.15,19.4,0.0,0.0,7.35,11.12
desert-sunlight,2026-09-14T06:00:00Z,50,19.63,21.8,0.0,0.0,6.69,10.12
desert-sunlight,2026-09-14T07:00:00Z,51,17.32,24.3,0.0,0.0,5.89,8.92
desert-sunlight,2026-09-14T08:00:00Z,52,15.37,26.8,0.0,0.0,5.0,7.56
desert-sunlight,2026-09-14T09:00:00Z,53,13.92,29.3,0.0,0.0,4.05,6.13
desert-sunlight,2026-09-14T10:00:00Z,54,13.05,31.7,0.0,0.0,3.11,4.71
desert-sunlight,2026-09-14T11:00:00Z,55,12.81,34.0,0.0,0.0,2.24,3.39
desert-sunlight,2026-09-14T12:00:00Z,56,13.22,36.2,0.0,0.0,1.48,2.23
desert-sunlight,2026-09-14T13:00:00Z,57,14.24,38.1,0.0,0.0,1.2,1.82
desert-sunlight,2026-09-14T14:00:00Z,58,15.79,5.0,78.11,37.33,1.2,1.82
desert-sunlight,2026-09-14T15:00:00Z,59,17.77,5.0,326.63,223.21,1.2,1.82
desert-sunlight,2026-09-14T16:00:00Z,60,20.02,5.0,554.62,432.66,1.2,1.82
desert-sunlight,2026-09-14T17:00:00Z,61,22.38,5.0,747.77,628.57,1.2,1.82
desert-sunlight,2026-09-14T18:00:00Z,62,24.7,5.0,893.93,785.74,1.22,1.85
desert-sunlight,2026-09-14T19:00:00Z,63,26.8,5.0,983.93,885.83,1.96,2.96
desert-sunlight,2026-09-14T20:00:00Z,64,28.53,5.0,1012.09,917.64,2.85,4.31
desert-sunlight,2026-09-14T21:00:00Z,65,29.78,5.0,976.67,877.67,3.85,5.83
desert-sunlight,2026-09-14T22:00:00Z,66,30.44,5.0,879.88,770.33,4.9,7.42
desert-sunlight,2026-09-14T23:00:00Z,67,30.47,5.0,727.8,607.66,5.95,9.0
desert-sunlight,2026-09-15T00:00:00Z,68,29.85,5.0,529.99,408.77,6.93,10.49
desert-sunlight,2026-09-15T01:00:00Z,69,28.63,5.0,298.88,199.77,7.8,11.8
desert-sunlight,2026-09-15T02:00:00Z,70,26.88,5.0,48.99,20.84,8.5,12.86
desert-sunlight,2026-09-15T03:00:00Z,71,24.71,37.5,0.0,0.0,9.0,13.62
desert-sunlight,2026-09-15T04:00:00Z,72,22.27,35.4,0.0,0.0,9.28,14.04
muppandal-wind,2026-09-12T05:00:00Z,1,24.86,47.9,595.8,464.01,10.14,15.35
muppandal-wind,2026-09-12T06:00:00Z,2,27.22,49.6,650.61,516.67,10.58,16.02
muppandal-wind,2026-09-12T07:00:00Z,3,29.23,50.7,666.8,531.81,11.1,16.8
muppandal-wind,2026-09-12T08:00:00Z,4,30.76,51.3,644.71,509.33,11.65,17.63
muppandal-wind,2026-09-12T09:00:00Z,5,31.72,51.4,585.79,451.72,12.2,18.46
muppandal-wind,2026-09-12T10:00:00Z,6,32.04,51.1,492.72,364.05,12.69,19.21
muppandal-wind,2026-09-12T11:00:00Z,7,31.71,50.5,369.5,254.35,13.09,19.81
muppandal-wind,2026-09-12T12:00:00Z,8,30.77,49.5,221.76,134.57,13.35,20.21
muppandal-wind,2026-09-12T13:00:00Z,9,29.27,48.3,56.8,24.56,13.46,20.37
muppandal-wind,2026-09-12T14:00:00Z,10,27.34,43.0,0.0,0.0,13.38,20.24
muppandal-wind,2026-09-12T15:00:00Z,11,25.1,44.0,0.0,0.0,13.11,19.84
muppandal-wind,2026-09-12T16:00:00Z,12,22.73,44.6,0.0,0.0,12.65,19.15
muppandal-wind,2026-09-12T17:00:00Z,13,20.37,44.9,0.0,0.0,12.03,18.21
muppandal-wind,2026-09-12T18:00:00Z,14,18.21,45.0,0.0,0.0,11.27,17.05
muppandal-wind,2026-09-12T19:00:00Z,15,16.39,44.7,0.0,0.0,10.41,15.76
muppandal-wind,2026-09-12T20:00:00Z,16,15.05,44.1,0.0,0.0,9.5,14.38
muppandal-wind,2026-09-12T21:00:00Z,17,14.28,43.2,0.0,0.0,8.6,13.01
muppandal-wind,2026-09-12T22:00:00Z,18,14.13,42.0,0.0,0.0,7.75,11.73
muppandal-wind,2026-09-12T23:00:00Z,19,14.62,40.6,0.0,0.0,7.01,10.62
muppandal-wind,2026-09-13T00:00:00Z,20,15.73,38.9,0.0,0.0,6.43,9.74
muppandal-wind,2026-09-13T01:00:00Z,21,17.38,37.9,32.55,12.39,6.05,9.16
muppandal-wind,2026-09-13T02:00:00Z,22,19.46,38.1,220.79,135.66,5.89,8.92
muppandal-wind,2026-09-13T03:00:00Z,23,21.83,38.4,394.2,279.93,5.97,9.04
muppandal-wind,2026-09-13T04:00:00Z,24,24.34,38.6,542.08,416.76,6.29,9.52
muppandal-wind,2026-09-13T05:00:00Z,25,26.81,38.8,655.78,528.68,6.83,10.34
muppandal-wind,2026-09-13T06:00:00Z,26,29.08,38.8,729.07,603.54,7.57,11.46
muppandal-wind,2026-09-13T07:00:00Z,27,30.99,38.6,758.2,633.94,8.47,12.82
muppandal-wind,2026-09-13T08:00:00Z,28,32.43,38.1,741.79,617.09,9.47,14.34
muppandal-wind,2026-09-13T09:00:00Z,29,33.28,37.3,680.61,554.51,10.53,15.94
muppandal-wind,2026-09-13T10:00:00Z,30,33.49,36.0,577.38,451.87,11.59,17.54
muppandal-wind,2026-09-13T11:00:00Z,31,33.05,34.4,436.55,318.95,12.57,19.03
muppandal-wind,2026-09-13T12:00:00Z,32,31.99,32.4,264.27,170.53,13.44,20.35
muppandal-wind,2026-09-13T13:00:00Z,33,30.37,29.9,68.35,31.49,14.15,21.41
muppandal-wind,2026-09-13T14:00:00Z,34,28.31,8.4,0.0,0.0,14.65,22.18
muppandal-wind,2026-09-13T15:00:00Z,35,25.95,7.1,0.0,0.0,14.93,22.6
muppandal-wind,2026-09-13T16:00:00Z,36,23.44,6.1,0.0,0.0,14.97,22.66
muppandal-wind,2026-09-13T17:00:00Z,37,20.95,5.4,0.0,0.0,14.78,22.37
muppandal-wind,2026-09-13T18:00:00Z,38,18.66,5.1,0.0,0.0,14.38,21.76
muppandal-wind,2026-09-13T19:00:00Z,39,16.71,5.0,0.0,0.0,13.79,20.87
muppandal-wind,2026-09-13T20:00:00Z,40,15.23,5.3,0.0,0.0,13.06,19.76
muppandal-wind,2026-09-13T21:00:00Z,41,14.31,5.8,0.0,0.0,12.23,18.51
muppandal-wind,2026-09-13T22:00:00Z,42,14.03,6.7,0.0,0.0,11.36,17.2
muppandal-wind,2026-09-13T23:00:00Z,43,14.39,7.8,0.0,0.0,10.5,15.89
muppandal-wind,2026-09-14T00:00:00Z,44,15.36,9.2,0.0,0.0,9.7,14.69
muppandal-wind,2026-09-14T01:00:00Z,45,16.87,5.0,43.15,17.78,9.01,13.64
muppandal-wind,2026-09-14T02:00:00Z,46,18.82,5.0,293.29,195.1,8.46,12.8
muppandal-wind,2026-09-14T03:00:00Z,47,21.06,5.0,525.0,403.97,8.08,12.22
muppandal-wind,2026-09-14T04:00:00Z,48,23.43,5.0,723.72,603.41,7.87,11.91
muppandal-wind,2026-09-14T05:00:00Z,49,25.78,5.0,876.97,767.15,7.85,11.88
muppandal-wind,2026-09-14T06:00:00Z,50,27.93,5.0,975.12,875.93,7.99,12.1
muppandal-wind,2026-09-14T07:00:00Z,51,29.72,5.0,1011.99,917.53,8.29,12.54
muppandal-wind,2026-09-14T08:00:00Z,52,31.04,5.0,985.28,887.35,8.69,13.16
muppandal-wind,2026-09-14T09:00:00Z,53,31.78,5.0,896.66,788.74,9.17,13.88
muppandal-wind,2026-09-14T10:00:00Z,54,31.88,5.0,751.7,632.71,9.68,14.66
muppandal-wind,2026-09-14T11:00:00Z,55,31.34,5.0,559.51,437.42,10.18,15.41
muppandal-wind,2026-09-14T12:00:00Z,56,30.18,5.0,332.16,227.94,10.63,16.09
muppandal-wind,2026-09-14T13:00:00Z,57,28.47,5.0,83.94,40.84,10.99,16.64
muppandal-wind,2026-09-14T14:00:00Z,58,26.33,39.9,0.0,0.0,11.24,17.01
muppandal-wind,2026-09-14T15:00:00Z,59,23.89,41.5,0.0,0.0,11.36,17.19
muppandal-wind,2026-09-14T16:00:00Z,60,21.31,42.7,0.0,0.0,11.33,17.16
muppandal-wind,2026-09-14T17:00:00Z,61,18.76,43.8,0.0,0.0,11.18,16.92
muppandal-wind,2026-09-14T18:00:00Z,62,16.4,44.5,0.0,0.0,10.92,16.52
muppandal-wind,2026-09-14T19:00:00Z,63,14.39,44.9,0.0,0.0,10.56,15.98
muppandal-wind,2026-09-14T20:00:00Z,64,12.87,45.0,0.0,0.0,10.15,15.37
muppandal-wind,2026-09-14T21:00:00Z,65,11.92,44.8,0.0,0.0,9.73,14.73
muppandal-wind,2026-09-14T22:00:00Z,66,11.6,44.3,0.0,0.0,9.33,14.13
muppandal-wind,2026-09-14T23:00:00Z,67,11.94,43.5,0.0,0.0,9.0,13.63
muppandal-wind,2026-09-15T00:00:00Z,68,12.89,42.3,0.0,0.0,8.77,13.28
muppandal-wind,2026-09-15T01:00:00Z,69,14.4,5.0,43.15,17.78,8.68,13.13
muppandal-wind,2026-09-15T02:00:00Z,70,16.34,5.0,293.29,195.1,8.73,13.22
muppandal-wind,2026-09-15T03:00:00Z,71,18.59,5.0,525.0,403.97,8.95,13.54
muppandal-wind,2026-09-15T04:00:00Z,72,20.98,5.0,723.72,603.41,9.32,14.1
hornsea-wind,2026-09-12T05:00:00Z,1,13.92,25.0,0.0,0.0,10.46,13.95
hornsea-wind,2026-09-12T06:00:00Z,2,15.6,49.6,19.8,6.57,10.01,13.34
hornsea-wind,2026-09-12T07:00:00Z,3,17.73,50.7,184.73,106.89,9.66,12.89
hornsea-wind,2026-09-12T08:00:00Z,4,20.15,51.3,335.95,225.5,9.46,12.61
hornsea-wind,2026-09-12T09:00:00Z,5,22.73,51.4,466.61,339.93,9.39,12.52
hornsea-wind,2026-09-12T10:00:00Z,6,25.29,51.1,570.36,437.12,9.46,12.62
hornsea-wind,2026-09-12T11:00:00Z,7,27.65,50.5,641.53,506.91,9.66,12.88
hornsea-wind,2026-09-12T12:00:00Z,8,29.68,49.5,675.41,541.45,9.96,13.28
hornsea-wind,2026-09-12T13:00:00Z,9,31.23,48.3,668.7,535.75,10.33,13.77
hornsea-wind,2026-09-12T14:00:00Z,10,32.21,46.9,620.08,488.47,10.73,14.3
hornsea-wind,2026-09-12T15:00:00Z,11,32.55,45.5,530.65,402.84,11.12,14.82
hornsea-wind,2026-09-12T16:00:00Z,12,32.24,44.0,404.34,287.3,11.45,15.27
hornsea-wind,2026-09-12T17:00:00Z,13,31.32,42.6,247.95,156.15,11.71,15.61
hornsea-wind,2026-09-12T18:00:00Z,14,29.83,41.3,70.94,32.72,11.84,15.79
hornsea-wind,2026-09-12T19:00:00Z,15,27.9,44.7,0.0,0.0,11.84,15.79
hornsea-wind,2026-09-12T20:00:00Z,16,25.66,44.1,0.0,0.0,11.7,15.6
hornsea-wind,2026-09-12T21:00:00Z,17,23.26,43.2,0.0,0.0,11.4,15.2
hornsea-wind,2026-09-12T22:00:00Z,18,20.88,42.0,0.0,0.0,10.98,14.63
hornsea-wind,2026-09-12T23:00:00Z,19,18.68,40.6,0.0,0.0,10.44,13.92
hornsea-wind,2026-09-13T00:00:00Z,20,16.82,38.9,0.0,0.0,9.83,13.1
hornsea-wind,2026-09-13T01:00:00Z,21,15.42,37.0,0.0,0.0,9.18,12.24
hornsea-wind,2026-09-13T02:00:00Z,22,14.59,34.9,0.0,0.0,8.54,11.39
hornsea-wind,2026-09-13T03:00:00Z,23,14.38,32.6,0.0,0.0,7.96,10.62
hornsea-wind,2026-09-13T04:00:00Z,24,14.82,30.3,0.0,0.0,7.49,9.98
hornsea-wind,2026-09-13T05:00:00Z,25,15.87,27.8,0.0,0.0,7.15,9.54
hornsea-wind,2026-09-13T06:00:00Z,26,17.46,38.8,22.19,7.67,7.0,9.33
hornsea-wind,2026-09-13T07:00:00Z,27,19.49,38.6,210.05,127.41,7.03,9.38
hornsea-wind,2026-09-13T08:00:00Z,28,21.82,38.1,386.54,273.21,7.28,9.71
hornsea-wind,2026-09-13T09:00:00Z,29,24.29,37.3,542.14,417.28,7.73,10.3
hornsea-wind,2026-09-13T10:00:00Z,30,26.74,36.0,668.37,542.57,8.36,11.15
hornsea-wind,2026-09-13T11:00:00Z,31,28.99,34.4,757.94,635.66,9.15,12.2
hornsea-wind,2026-09-13T12:00:00Z,32,30.9,32.4,804.87,686.1,10.05,13.4
hornsea-wind,2026-09-13T13:00:00Z,33,32.33,29.9,804.7,686.81,11.02,14.7
hornsea-wind,2026-09-13T14:00:00Z,34,33.18,27.0,754.78,634.75,12.0,16.0
hornsea-wind,2026-09-13T15:00:00Z,35,33.4,23.6,654.71,531.91,12.94,17.25
hornsea-wind,2026-09-13T16:00:00Z,36,32.96,20.0,506.77,386.48,13.77,18.37
hornsea-wind,2026-09-13T17:00:00Z,37,31.9,16.1,316.39,214.58,14.46,19.28
hornsea-wind,2026-09-13T18:00:00Z,38,30.28,11.9,92.35,46.04,14.95,19.94
hornsea-wind,2026-09-13T19:00:00Z,39,28.21,5.0,0.0,0.0,15.22,20.3
hornsea-wind,2026-09-13T20:00:00Z,40,25.83,5.3,0.0,0.0,15.25,20.34
hornsea-wind,2026-09-13T21:00:00Z,41,23.3,5.8,0.0,0.0,15.04,20.05
hornsea-wind,2026-09-13T22:00:00Z,42,20.78,6.7,0.0,0.0,14.59,19.45
hornsea-wind,2026-09-13T23:00:00Z,43,18.45,7.8,0.0,0.0,13.93,18.57
hornsea-wind,2026-09-14T00:00:00Z,44,16.45,9.2,0.0,0.0,13.09,17.46
hornsea-wind,2026-09-14T01:00:00Z,45,14.92,10.9,0.0,0.0,12.14,16.18
hornsea-wind,2026-09-14T02:00:00Z,46,13.95,12.8,0.0,0.0,11.11,14.81
hornsea-wind,2026-09-14T03:00:00Z,47,13.61,14.8,0.0,0.0,10.07,13.42
hornsea-wind,2026-09-14T04:00:00Z,48,13.91,17.1,0.0,0.0,9.07,12.09
hornsea-wind,2026-09-14T05:00:00Z,49,14.84,19.4,0.0,0.0,8.17,10.89
hornsea-wind,2026-09-14T06:00:00Z,50,16.31,5.0,29.68,11.13,7.42,9.89
hornsea-wind,2026-09-14T07:00:00Z,51,18.22,5.0,280.36,184.41,6.85,9.14
hornsea-wind,2026-09-14T08:00:00Z,52,20.43,5.0,513.43,392.87,6.5,8.66
hornsea-wind,2026-09-14T09:00:00Z,53,22.79,5.0,714.23,593.53,6.37,8.49
hornsea-wind,2026-09-14T10:00:00Z,54,25.13,5.0,870.16,759.71,6.46,8.61
hornsea-wind,2026-09-14T11:00:00Z,55,27.28,5.0,971.42,871.77,6.76,9.01
hornsea-wind,2026-09-14T12:00:00Z,56,29.09,5.0,1011.63,917.12,7.24,9.66
hornsea-wind,2026-09-14T13:00:00Z,57,30.43,5.0,988.28,890.73,7.87,10.49
hornsea-wind,2026-09-14T14:00:00Z,58,31.2,5.0,902.84,795.53,8.59,11.46
hornsea-wind,2026-09-14T15:00:00Z,59,31.33,5.0,760.66,642.15,9.37,12.49
hornsea-wind,2026-09-14T16:00:00Z,60,30.83,5.0,570.69,448.38,10.14,13.52
hornsea-wind,2026-09-14T17:00:00Z,61,29.7,5.0,344.86,238.89,10.86,14.48
hornsea-wind,2026-09-14T18:00:00Z,62,28.02,5.0,97.37,49.17,11.49,15.32
hornsea-wind,2026-09-14T19:00:00Z,63,25.9,44.9,0.0,0.0,12.0,16.0
hornsea-wind,2026-09-14T20:00:00Z,64,23.48,45.0,0.0,0.0,12.35,16.46
hornsea-wind,2026-09-14T21:00:00Z,65,20.91,44.8,0.0,0.0,12.54,16.71
hornsea-wind,2026-09-14T22:00:00Z,66,18.36,44.3,0.0,0.0,12.56,16.74
